CommonID,sorghum3,maize4,paspalum3,subgenome
gene7196,Sobic.003G409600,Zm00001d042290,Pavagv31019748m,maize1
gene7197,Sobic.003G409800,Zm00001d042288,Pavagv31019749m,maize1
gene7198,Sobic.003G410000,Zm00001d042286,Pavagv31052532m,maize1
gene7199,Sobic.003G410100,Zm00001d042285,Pavagv31052533m,maize1
gene7200,Sobic.003G410400,Zm00001d042284,Pavagv31019757m,maize1
gene7201,Sobic.003G410500,Zm00001d042282,Pavagv31019758m,maize1
gene7202,Sobic.003G410600,Zm00001d042281,Pavagv31019759m,maize1
gene7203,Sobic.003G410700,Zm00001d042279,Pavagv31019760m,maize1
gene7204,Sobic.003G410800,Zm00001d042276,Pavagv31019761m,maize1
gene7205,Sobic.003G410900,Zm00001d042275,Pavagv31019765m,maize1
gene7206,Sobic.003G411200,Zm00001d042274,Pavagv31019766m,maize1
gene7207,Sobic.003G411400,Zm00001d042272,Pavagv31019767m,maize1
gene7208,Sobic.003G411500,Zm00001d042271,Pavagv31019768m,maize1
gene7209,Sobic.003G411600,Zm00001d042270,Pavagv31019770m,maize1
gene7210,Sobic.003G411700,Zm00001d042269,Pavagv31019771m,maize1
gene7211,Sobic.003G411800,Zm00001d042268,Pavagv31019773m,maize1
gene7212,Sobic.003G411900,Zm00001d042267,Pavagv31019775m,maize1
gene7213,Sobic.003G412100,Zm00001d042264,Pavagv31019776m,maize1
gene7214,Sobic.003G412200,Zm00001d042263,Pavagv31019777m,maize1
gene7215,Sobic.003G412400,Zm00001d042259,Pavagv31019785m,maize1
gene7216,Sobic.003G412600,Zm00001d042258,Pavagv31019787m,maize1
gene7217,Sobic.003G412900,Zm00001d042257,Pavagv31019791m,maize1
gene7218,Sobic.003G413000,Zm00001d042256,Pavagv31019792m,maize1
gene7219,Sobic.003G413100,Zm00001d042250,Pavagv31019796m,maize1
gene7220,Sobic.003G413300,Zm00001d042250,Pavagv31019796m,maize1
gene7221,Sobic.003G413500,Zm00001d042245,Pavagv31019799m,maize1
gene7222,Sobic.003G413600,Zm00001d042244,Pavagv31019802m,maize1
gene7223,Sobic.003G413700,Zm00001d042244,Pavagv31019802m,maize1
gene7224,Sobic.003G413900,Zm00001d042243,Pavagv31019806m,maize1
gene7225,Sobic.003G414600,Zm00001d042241,Pavagv31019816m,maize1
gene7226,Sobic.003G414700,Zm00001d042239,Pavagv31019817m,maize1
gene7227,Sobic.003G414800,Zm00001d042239,Pavagv31019817m,maize1
gene7228,Sobic.003G414900,Zm00001d042239,Pavagv31019818m,maize1
gene7229,Sobic.003G415000,Zm00001d042237,Pavagv31019821m,maize1
gene7230,Sobic.003G415100,Zm00001d042234,Pavagv31019822m,maize1
gene7231,Sobic.003G415900,Zm00001d042225,Pavagv31019826m,maize1
gene7232,Sobic.003G416100,Zm00001d042217,Pavagv31019829m,maize1
gene7233,Sobic.003G416300,Zm00001d042216,Pavagv31019830m,maize1
gene7234,Sobic.003G416400,Zm00001d042215,Pavagv31019831m,maize1
gene7235,Sobic.003G416500,Zm00001d042214,Pavagv31019832m,maize1
gene7236,Sobic.003G416600,Zm00001d042213,Pavagv31019834m,maize1
gene7237,Sobic.003G416700,Zm00001d042212,Pavagv31019835m,maize1
gene7238,Sobic.003G416800,Zm00001d042211,Pavagv31019836m,maize1
gene7239,Sobic.003G416900,Zm00001d042210,Pavagv31019837m,maize1
gene7240,Sobic.003G417000,Zm00001d042210,Pavagv31019842m,maize1
gene7241,Sobic.003G417100,Zm00001d042210,Pavagv31019837m,maize1
gene7242,Sobic.003G417200,Zm00001d042209,Pavagv31019844m,maize1
gene7243,Sobic.003G417350,Zm00001d042207,Pavagv31019843m,maize1
gene7244,Sobic.003G417500,Zm00001d042202,Pavagv31019846m,maize1
gene7245,Sobic.003G417600,Zm00001d042200,Pavagv31019847m,maize1
gene7246,Sobic.003G417700,Zm00001d042197,Pavagv31019848m,maize1
gene7247,Sobic.003G417800,Zm00001d042196,Pavagv31019849m,maize1
gene7248,Sobic.003G417900,Zm00001d042193,Pavagv31019851m,maize1
gene7249,Sobic.003G418000,Zm00001d042192,Pavagv31019852m,maize1
gene7250,Sobic.003G418100,Zm00001d042189,Pavagv31019855m,maize1
gene7251,Sobic.003G418200,Zm00001d042191,Pavagv31019856m,maize1
gene7252,Sobic.003G418500,Zm00001d042187,Pavagv31019862m,maize1
gene7253,Sobic.003G418600,Zm00001d042184,Pavagv31019864m,maize1
gene7254,Sobic.003G418700,Zm00001d042183,Pavagv31019865m,maize1
gene7255,Sobic.003G418900,Zm00001d042182,Pavagv31019868m,maize1
gene7256,Sobic.003G419100,Zm00001d042180,Pavagv31019870m,maize1
gene7257,Sobic.003G419300,Zm00001d042179,Pavagv31019872m,maize1
gene7258,Sobic.003G419500,Zm00001d042179,Pavagv31019882m,maize1
gene7259,Sobic.003G419900,Zm00001d042178,Pavagv31019885m,maize1
gene7260,Sobic.003G420201,Zm00001d042169,Pavagv31019887m,maize1
gene7261,Sobic.003G420300,Zm00001d042168,Pavagv31019889m,maize1
gene7262,Sobic.003G420400,Zm00001d042160,Pavagv31019890m,maize1
gene7263,Sobic.003G420500,Zm00001d042164,Pavagv31019892m,maize1
gene7264,Sobic.003G420700,Zm00001d042158,Pavagv31019895m,maize1
gene7265,Sobic.003G420800,Zm00001d042152,Pavagv31019896m,maize1
gene7266,Sobic.003G420900,Zm00001d042150,Pavagv31019904m,maize1
gene7267,Sobic.003G421100,Zm00001d042148,Pavagv31019906m,maize1
gene7268,Sobic.003G421201,Zm00001d042146,Pavagv31019907m,maize1
gene7269,Sobic.003G421400,Zm00001d042144,Pavagv31019908m,maize1
gene7270,Sobic.003G421500,Zm00001d042143,Pavagv31019909m,maize1
gene7271,Sobic.003G421700,Zm00001d042143,Pavagv31019909m,maize1
gene7272,Sobic.003G421800,Zm00001d042142,Pavagv31019910m,maize1
gene7273,Sobic.003G421900,Zm00001d042141,Pavagv31053519m,maize1
gene7274,Sobic.003G422000,Zm00001d042140,Pavagv31053518m,maize1
gene7275,Sobic.003G422100,Zm00001d042138,Pavagv31053516m,maize1
gene7276,Sobic.003G422200,Zm00001d042138,Pavagv31053514m,maize1
gene7277,Sobic.003G422300,Zm00001d042137,Pavagv31053513m,maize1
gene7278,Sobic.003G422400,Zm00001d042135,Pavagv31053511m,maize1
gene7279,Sobic.003G422600,Zm00001d042135,Pavagv31053512m,maize1
gene7280,Sobic.003G422700,Zm00001d042135,Pavagv31053509m,maize1
gene7281,Sobic.003G422800,Zm00001d042134,Pavagv31053508m,maize1
gene7282,Sobic.003G422900,Zm00001d042133,Pavagv31053506m,maize1
gene7283,Sobic.003G423000,Zm00001d042132,Pavagv31053505m,maize1
gene7284,Sobic.003G423500,Zm00001d042138,Pavagv31053501m,maize1
gene7285,Sobic.003G423600,Zm00001d042131,Pavagv31053500m,maize1
gene7286,Sobic.003G423700,Zm00001d042130,Pavagv31053498m,maize1
gene7287,Sobic.003G423800,Zm00001d042128,Pavagv31053497m,maize1
gene7288,Sobic.003G423900,Zm00001d042127,Pavagv31053496m,maize1
gene7289,Sobic.003G424000,Zm00001d042123,Pavagv31053495m,maize1
gene7290,Sobic.003G424100,Zm00001d042123,Pavagv31053495m,maize1
gene7291,Sobic.003G424200,Zm00001d042118,Pavagv31053494m,maize1
gene7292,Sobic.003G424300,Zm00001d042117,Pavagv31053493m,maize1
gene7293,Sobic.003G424400,Zm00001d042116,Pavagv31053491m,maize1
gene7294,Sobic.003G424500,Zm00001d042114,Pavagv31019913m,maize1
gene7295,Sobic.003G424950,Zm00001d042111,Pavagv31019916m,maize1
gene7296,Sobic.003G425200,Zm00001d042108,Pavagv31019920m,maize1
gene7297,Sobic.003G425500,Zm00001d042107,Pavagv31019920m,maize1
gene7298,Sobic.003G425701,Zm00001d042102,Pavagv31019927m,maize1
gene7299,Sobic.003G425850,Zm00001d042104,Pavagv31019933m,maize1
gene7300,Sobic.003G426000,Zm00001d042099,Pavagv31019933m,maize1
gene7301,Sobic.003G426100,Zm00001d042104,Pavagv31019933m,maize1
gene7302,Sobic.003G426200,Zm00001d042102,Pavagv31019938m,maize1
gene7303,Sobic.003G426300,Zm00001d042098,Pavagv31019933m,maize1
gene7304,Sobic.003G426400,Zm00001d042096,Pavagv31019937m,maize1
gene7305,Sobic.003G426500,Zm00001d042095,Pavagv31019940m,maize1
gene7306,Sobic.003G426600,Zm00001d042104,Pavagv31019939m,maize1
gene7307,Sobic.003G426700,Zm00001d042094,Pavagv31019941m,maize1
gene7308,Sobic.003G426800,Zm00001d042093,Pavagv31019942m,maize1
gene7309,Sobic.003G426900,Zm00001d042092,Pavagv31019944m,maize1
gene7310,Sobic.003G427200,Zm00001d042088,Pavagv31019946m,maize1
gene7311,Sobic.003G427300,Zm00001d042088,Pavagv31019947m,maize1
gene7312,Sobic.003G427500,Zm00001d042087,Pavagv31019948m,maize1
gene7313,Sobic.003G427600,Zm00001d042084,Pavagv31019949m,maize1
gene7314,Sobic.003G427700,Zm00001d042082,Pavagv31019951m,maize1
gene7315,Sobic.003G427800,Zm00001d042082,Pavagv31019951m,maize1
gene7316,Sobic.003G427900,Zm00001d042082,Pavagv31019951m,maize1
gene7317,Sobic.003G428000,Zm00001d042080,Pavagv31019961m,maize1
gene7318,Sobic.003G428100,Zm00001d042074,Pavagv31019962m,maize1
gene7319,Sobic.003G428400,Zm00001d042066,Pavagv31019965m,maize1
gene7320,Sobic.003G428600,Zm00001d042064,Pavagv31019966m,maize1
gene7321,Sobic.003G428700,Zm00001d042063,Pavagv31019972m,maize1
gene7322,Sobic.003G428800,Zm00001d042062,Pavagv31019973m,maize1
gene7323,Sobic.003G429000,Zm00001d042061,Pavagv31019980m,maize1
gene7324,Sobic.003G429101,Zm00001d042060,Pavagv31019981m,maize1
gene7325,Sobic.003G429200,Zm00001d042061,Pavagv31019982m,maize1
gene7326,Sobic.003G429300,Zm00001d042061,Pavagv31019982m,maize1
gene7327,Sobic.003G429700,Zm00001d042059,Pavagv31019988m,maize1
gene7328,Sobic.003G430100,Zm00001d042057,Pavagv31019994m,maize1
gene7329,Sobic.003G430400,Zm00001d042056,Pavagv31019995m,maize1
gene7330,Sobic.003G430500,Zm00001d042056,Pavagv31019999m,maize1
gene7331,Sobic.003G430600,Zm00001d042056,Pavagv31019999m,maize1
gene7332,Sobic.003G430900,Zm00001d042055,Pavagv31020004m,maize1
gene7333,Sobic.003G431000,Zm00001d042054,Pavagv31020008m,maize1
gene7334,Sobic.003G431900,Zm00001d042050,Pavagv31020014m,maize1
gene7335,Sobic.003G432000,Zm00001d042051,Pavagv31020013m,maize1
gene7336,Sobic.003G432100,Zm00001d042052,Pavagv31020012m,maize1
gene7337,Sobic.003G432300,Zm00001d042045,Pavagv31020023m,maize1
gene7338,Sobic.003G432500,Zm00001d042044,Pavagv31020025m,maize1
gene7339,Sobic.003G432800,Zm00001d042043,Pavagv31020029m,maize1
gene7340,Sobic.003G432900,Zm00001d042042,Pavagv31020030m,maize1
gene7341,Sobic.003G433500,Zm00001d042040,Pavagv31020039m,maize1
gene7342,Sobic.003G433600,Zm00001d042039,Pavagv31020040m,maize1
gene7343,Sobic.003G434700,Zm00001d042034,Pavagv31020045m,maize1
gene7344,Sobic.003G435700,Zm00001d042027,Pavagv31020053m,maize1
gene7345,Sobic.003G435800,Zm00001d042026,Pavagv31020055m,maize1
gene7346,Sobic.003G436500,Zm00001d042025,Pavagv31020088m,maize1
gene7347,Sobic.003G436600,Zm00001d042024,Pavagv31020087m,maize1
gene7348,Sobic.003G436700,Zm00001d042023,Pavagv31020086m,maize1
gene7349,Sobic.003G436800,Zm00001d042022,Pavagv31020085m,maize1
gene7350,Sobic.003G437400,Zm00001d042019,Pavagv31020095m,maize1
gene7351,Sobic.003G437500,Zm00001d042018,Pavagv31020096m,maize1
gene7352,Sobic.003G437600,Zm00001d042017,Pavagv31020098m,maize1
gene7353,Sobic.003G438100,Zm00001d042016,Pavagv31020103m,maize1
gene7354,Sobic.003G438500,Zm00001d042014,Pavagv31020111m,maize1
gene7355,Sobic.003G438600,Zm00001d042013,Pavagv31020100m,maize1
gene7356,Sobic.003G439100,Zm00001d042007,Pavagv31020118m,maize1
gene7357,Sobic.003G439600,Zm00001d042005,Pavagv31020121m,maize1
gene7358,Sobic.003G440400,Zm00001d041998,Pavagv31020124m,maize1
gene7359,Sobic.003G440600,Zm00001d041995,Pavagv31020125m,maize1
gene7360,Sobic.003G440700,Zm00001d041994,Pavagv31020126m,maize1
gene7361,Sobic.003G440800,Zm00001d041993,Pavagv31020127m,maize1
gene7362,Sobic.003G440900,Zm00001d041991,Pavagv31020128m,maize1
gene7363,Sobic.003G441000,Zm00001d041990,Pavagv31020135m,maize1
gene7364,Sobic.003G441200,Zm00001d041989,Pavagv31020137m,maize1
gene7365,Sobic.003G441301,Zm00001d041988,Pavagv31020138m,maize1
gene7366,Sobic.003G441500,Zm00001d041984,Pavagv31020140m,maize1
gene7367,Sobic.003G441601,Zm00001d041987,Pavagv31020141m,maize1
gene7368,Sobic.003G441700,Zm00001d041985,Pavagv31020140m,maize1
gene7369,Sobic.003G441800,Zm00001d041984,Pavagv31020140m,maize1
gene7370,Sobic.003G441900,Zm00001d041983,Pavagv31020142m,maize1
gene7371,Sobic.003G442000,Zm00001d041982,Pavagv31020144m,maize1
gene7372,Sobic.003G442100,Zm00001d041981,Pavagv31020145m,maize1
gene7373,Sobic.003G442200,Zm00001d041979,Pavagv31020147m,maize1
gene7374,Sobic.003G442400,Zm00001d041973,Pavagv31020149m,maize1
gene7375,Sobic.003G442500,Zm00001d041972,Pavagv31020150m,maize1
gene7376,Sobic.003G442601,Zm00001d041969,Pavagv31020151m,maize1
gene7377,Sobic.003G442800,Zm00001d041968,Pavagv31020154m,maize1
gene7378,Sobic.003G443000,Zm00001d041965,Pavagv31020156m,maize1
gene7379,Sobic.003G443100,Zm00001d041964,Pavagv31020157m,maize1
gene7380,Sobic.003G443300,Zm00001d041963,Pavagv31020159m,maize1
gene7381,Sobic.003G443400,Zm00001d041962,Pavagv31020160m,maize1
gene7382,Sobic.003G443500,Zm00001d041961,Pavagv31020161m,maize1
gene7383,Sobic.003G443700,Zm00001d041959,Pavagv31020163m,maize1
gene7384,Sobic.003G444000,Zm00001d041958,Pavagv31020167m,maize1
gene7385,Sobic.003G444100,Zm00001d041957,Pavagv31020168m,maize1
gene7386,Sobic.003G444300,Zm00001d041956,Pavagv31020171m,maize1
gene7387,Sobic.003G444600,Zm00001d041954,Pavagv31020181m,maize1
gene7388,Sobic.003G444800,Zm00001d041953,Pavagv31020185m,maize1
gene7389,Sobic.003G445000,Zm00001d041950,Pavagv31020188m,maize1
gene7390,Sobic.003G445100,Zm00001d041949,Pavagv31020189m,maize1
gene7391,Sobic.003G445400,Zm00001d041948,Pavagv31020193m,maize1
gene7392,Sobic.003G445500,Zm00001d041947,Pavagv31020194m,maize1
gene7393,Sobic.003G445600,Zm00001d041944,Pavagv31020196m,maize1
gene7394,Sobic.003G445900,Zm00001d041941,Pavagv31020198m,maize1
gene7395,Sobic.003G446100,Zm00001d041940,Pavagv31020199m,maize1
gene7396,Sobic.004G000400,Zm00001d014912,Pavagv31020223m,maize1
gene7397,Sobic.004G000700,Zm00001d014914,Pavagv31020226m,maize1
gene7398,Sobic.004G001200,Zm00001d014918,Pavagv31020232m,maize1
gene7399,Sobic.004G001300,Zm00001d014919,Pavagv31020233m,maize1
gene7400,Sobic.004G001500,Zm00001d014920,Pavagv31020239m,maize1
gene7401,Sobic.004G002300,Zm00001d014928,Pavagv31020256m,maize1
gene7402,Sobic.004G002350,Zm00001d014926,Pavagv31020255m,maize1
gene7403,Sobic.004G002400,Zm00001d014925,Pavagv31020254m,maize1
gene7404,Sobic.004G002500,Zm00001d014924,Pavagv31020253m,maize1
gene7405,Sobic.004G002700,Zm00001d014931,Pavagv31020260m,maize1
gene7406,Sobic.004G002800,Zm00001d014932,Pavagv31020261m,maize1
gene7407,Sobic.004G003300,Zm00001d014933,Pavagv31020267m,maize1
gene7408,Sobic.004G003401,Zm00001d014937,Pavagv31020272m,maize1
gene7409,Sobic.004G003700,Zm00001d014938,Pavagv31020273m,maize1
gene7410,Sobic.004G004200,Zm00001d014943,Pavagv31020277m,maize1
gene7411,Sobic.004G004300,Zm00001d014943,Pavagv31020277m,maize1
gene7412,Sobic.004G004400,Zm00001d014944,Pavagv31020280m,maize1
gene7413,Sobic.004G004500,Zm00001d014945,Pavagv31020290m,maize1
gene7414,Sobic.004G004600,Zm00001d014946,Pavagv31020283m,maize1
gene7415,Sobic.004G004800,Zm00001d014947,Pavagv31020287m,maize1
gene7416,Sobic.004G005000,Zm00001d014949,Pavagv31020291m,maize1
gene7417,Sobic.004G005100,Zm00001d014950,Pavagv31020292m,maize1
gene7418,Sobic.004G005200,Zm00001d014951,Pavagv31020301m,maize1
gene7419,Sobic.004G005300,Zm00001d014952,Pavagv31020302m,maize1
gene7420,Sobic.004G006100,Zm00001d014958,Pavagv31020304m,maize1
gene7421,Sobic.004G006400,Zm00001d014958,Pavagv31020304m,maize1
gene7422,Sobic.004G006500,Zm00001d014960,Pavagv31020306m,maize1
gene7423,Sobic.004G006700,Zm00001d014961,Pavagv31020310m,maize1
gene7424,Sobic.004G006800,Zm00001d014962,Pavagv31020312m,maize1
gene7425,Sobic.004G006966,Zm00001d014962,Pavagv31020312m,maize1
gene7426,Sobic.004G007400,Zm00001d014963,Pavagv31020314m,maize1
gene7427,Sobic.004G007700,Zm00001d014966,Pavagv31020316m,maize1
gene7428,Sobic.004G007900,Zm00001d014967,Pavagv31020318m,maize1
gene7429,Sobic.004G008400,Zm00001d014969,Pavagv31020323m,maize1
gene7430,Sobic.004G008600,Zm00001d014971,Pavagv31020317m,maize1
gene7431,Sobic.004G009200,Zm00001d014976,Pavagv31020334m,maize1
gene7432,Sobic.004G009400,Zm00001d014976,Pavagv31020334m,maize1
gene7433,Sobic.004G009500,Zm00001d014976,Pavagv31020334m,maize1
gene7434,Sobic.004G009600,Zm00001d014977,Pavagv31020341m,maize1
gene7435,Sobic.004G010000,Zm00001d014983,Pavagv31020347m,maize1
gene7436,Sobic.004G010300,Zm00001d014984,Pavagv31020348m,maize1
gene7437,Sobic.004G011000,Zm00001d014988,Pavagv31020350m,maize1
gene7438,Sobic.004G011100,Zm00001d014989,Pavagv31020351m,maize1
gene7439,Sobic.004G011201,Zm00001d014990,Pavagv31020352m,maize1
gene7440,Sobic.004G011300,Zm00001d014991,Pavagv31020355m,maize1
gene7441,Sobic.004G011433,Zm00001d014992,Pavagv31020356m,maize1
gene7442,Sobic.004G011700,Zm00001d014993,Pavagv31020359m,maize1
gene7443,Sobic.004G012000,Zm00001d014994,Pavagv31020366m,maize1
gene7444,Sobic.004G012100,Zm00001d014995,Pavagv31020367m,maize1
gene7445,Sobic.004G012200,Zm00001d014996,Pavagv31020368m,maize1
gene7446,Sobic.004G012501,Zm00001d014998,Pavagv31020370m,maize1
gene7447,Sobic.004G012900,Zm00001d015004,Pavagv31020374m,maize1
gene7448,Sobic.004G013100,Zm00001d015006,Pavagv31020381m,maize1
gene7449,Sobic.004G013200,Zm00001d015007,Pavagv31020382m,maize1
gene7450,Sobic.004G013300,Zm00001d015007,Pavagv31020382m,maize1
gene7451,Sobic.004G013500,Zm00001d015008,Pavagv31020389m,maize1
gene7452,Sobic.004G013600,Zm00001d015009,Pavagv31020390m,maize1
gene7453,Sobic.004G014000,Zm00001d015012,Pavagv31020391m,maize1
gene7454,Sobic.004G014100,Zm00001d015014,Pavagv31020392m,maize1
gene7455,Sobic.004G014300,Zm00001d015018,Pavagv31020393m,maize1
gene7456,Sobic.004G014500,Zm00001d015018,Pavagv31020393m,maize1
gene7457,Sobic.004G014700,Zm00001d015019,Pavagv31020393m,maize1
gene7458,Sobic.004G015300,Zm00001d015020,Pavagv31020398m,maize1
gene7459,Sobic.004G015400,Zm00001d015025,Pavagv31020399m,maize1
gene7460,Sobic.004G016400,Zm00001d015029,Pavagv31020402m,maize1
gene7461,Sobic.004G016500,Zm00001d015030,Pavagv31020410m,maize1
gene7462,Sobic.004G016800,Zm00001d015032,Pavagv31020411m,maize1
gene7463,Sobic.004G016900,Zm00001d015033,Pavagv31020412m,maize1
gene7464,Sobic.004G017900,Zm00001d015036,Pavagv31020422m,maize1
gene7465,Sobic.004G018100,Zm00001d015037,Pavagv31020424m,maize1
gene7466,Sobic.004G018500,Zm00001d015040,Pavagv31020430m,maize1
gene7467,Sobic.004G018900,Zm00001d015053,Pavagv31020438m,maize1
gene7468,Sobic.004G019000,Zm00001d015053,Pavagv31020438m,maize1
gene7469,Sobic.004G019100,Zm00001d015053,Pavagv31020438m,maize1
gene7470,Sobic.004G019300,Zm00001d015053,Pavagv31020438m,maize1
gene7471,Sobic.004G019400,Zm00001d015053,Pavagv31020438m,maize1
gene7472,Sobic.004G019500,Zm00001d015052,Pavagv31020448m,maize1
gene7473,Sobic.004G019550,Zm00001d015053,Pavagv31020438m,maize1
gene7474,Sobic.004G019600,Zm00001d015058,Pavagv31020451m,maize1
gene7475,Sobic.004G019700,Zm00001d015059,Pavagv31020452m,maize1
gene7476,Sobic.004G019800,Zm00001d015060,Pavagv31020453m,maize1
gene7477,Sobic.004G020000,Zm00001d015061,Pavagv31020454m,maize1
gene7478,Sobic.004G020600,Zm00001d015064,Pavagv31020465m,maize1
gene7479,Sobic.004G021200,Zm00001d015065,Pavagv31020476m,maize1
gene7480,Sobic.004G021800,Zm00001d015075,Pavagv31020481m,maize1
gene7481,Sobic.004G021900,Zm00001d015075,Pavagv31020481m,maize1
gene7482,Sobic.004G022000,Zm00001d015075,Pavagv31020481m,maize1
gene7483,Sobic.004G022100,Zm00001d015075,Pavagv31020481m,maize1
gene7484,Sobic.004G022200,Zm00001d015075,Pavagv31020481m,maize1
gene7485,Sobic.004G022300,Zm00001d015068,Pavagv31020485m,maize1
gene7486,Sobic.004G022432,Zm00001d015079,Pavagv31020493m,maize1
gene7487,Sobic.004G022500,Zm00001d015068,Pavagv31020485m,maize1
gene7488,Sobic.004G022600,Zm00001d015079,Pavagv31020493m,maize1
gene7489,Sobic.004G022700,Zm00001d015075,Pavagv31020485m,maize1
gene7490,Sobic.004G022800,Zm00001d015079,Pavagv31020485m,maize1
gene7491,Sobic.004G022950,Zm00001d015077,Pavagv31020493m,maize1
gene7492,Sobic.004G023200,Zm00001d015084,Pavagv31020497m,maize1
gene7493,Sobic.004G023300,Zm00001d015084,Pavagv31020497m,maize1
gene7494,Sobic.004G023400,Zm00001d015085,Pavagv31020506m,maize1
gene7495,Sobic.004G023900,Zm00001d015088,Pavagv31020511m,maize1
gene7496,Sobic.004G024100,Zm00001d015090,Pavagv31020512m,maize1
gene7497,Sobic.004G024200,Zm00001d015091,Pavagv31020513m,maize1
gene7498,Sobic.004G024300,Zm00001d015092,Pavagv31020514m,maize1
gene7499,Sobic.004G024400,Zm00001d015093,Pavagv31020518m,maize1
gene7500,Sobic.004G024600,Zm00001d015095,Pavagv31020521m,maize1
gene7501,Sobic.004G024800,Zm00001d015096,Pavagv31020524m,maize1
gene7502,Sobic.004G025000,Zm00001d015100,Pavagv31020525m,maize1
gene7503,Sobic.004G025100,Zm00001d015101,Pavagv31020526m,maize1
gene7504,Sobic.004G025200,Zm00001d015101,Pavagv31020527m,maize1
gene7505,Sobic.004G025300,Zm00001d015102,Pavagv31020528m,maize1
gene7506,Sobic.004G025400,Zm00001d015103,Pavagv31020529m,maize1
gene7507,Sobic.004G025700,Zm00001d015114,Pavagv31020531m,maize1
gene7508,Sobic.004G025800,Zm00001d015115,Pavagv31020532m,maize1
gene7509,Sobic.004G026400,Zm00001d015116,Pavagv31020536m,maize1
gene7510,Sobic.004G026700,Zm00001d015118,Pavagv31020537m,maize1
gene7511,Sobic.004G027000,Zm00001d015123,Pavagv31020544m,maize1
gene7512,Sobic.004G027100,Zm00001d015121,Pavagv31020543m,maize1
gene7513,Sobic.004G027700,Zm00001d015124,Pavagv31020556m,maize1
gene7514,Sobic.004G028000,Zm00001d015125,Pavagv31020561m,maize1
gene7515,Sobic.004G028400,Zm00001d015127,Pavagv31020565m,maize1
gene7516,Sobic.004G028700,Zm00001d015129,Pavagv31020567m,maize1
gene7517,Sobic.004G028800,Zm00001d015130,Pavagv31020573m,maize1
gene7518,Sobic.004G028900,Zm00001d015131,Pavagv31020579m,maize1
gene7519,Sobic.004G029200,Zm00001d015132,Pavagv31020590m,maize1
gene7520,Sobic.004G029900,Zm00001d015133,Pavagv31020599m,maize1
gene7521,Sobic.004G030000,Zm00001d015134,Pavagv31020610m,maize1
gene7522,Sobic.004G030100,Zm00001d015135,Pavagv31020611m,maize1
gene7523,Sobic.004G030200,Zm00001d015138,Pavagv31020614m,maize1
gene7524,Sobic.004G030300,Zm00001d015140,Pavagv31020620m,maize1
gene7525,Sobic.004G030400,Zm00001d015141,Pavagv31020621m,maize1
gene7526,Sobic.004G030501,Zm00001d015142,Pavagv31020623m,maize1
gene7527,Sobic.004G030700,Zm00001d015148,Pavagv31020625m,maize1
gene7528,Sobic.004G030900,Zm00001d015152,Pavagv31020629m,maize1
gene7529,Sobic.004G031100,Zm00001d015153,Pavagv31020632m,maize1
gene7530,Sobic.004G031300,Zm00001d015156,Pavagv31020636m,maize1
gene7531,Sobic.004G031600,Zm00001d015164,Pavagv31020640m,maize1
gene7532,Sobic.004G031800,Zm00001d015174,Pavagv31020641m,maize1
gene7533,Sobic.004G031900,Zm00001d015175,Pavagv31020643m,maize1
gene7534,Sobic.004G032000,Zm00001d015180,Pavagv31020647m,maize1
gene7535,Sobic.004G032100,Zm00001d015181,Pavagv31020648m,maize1
gene7536,Sobic.004G032200,Zm00001d015182,Pavagv31020649m,maize1
gene7537,Sobic.004G032400,Zm00001d015183,Pavagv31020652m,maize1
gene7538,Sobic.004G032500,Zm00001d015184,Pavagv31020654m,maize1
gene7539,Sobic.004G033000,Zm00001d015186,Pavagv31020666m,maize1
gene7540,Sobic.004G033200,Zm00001d015195,Pavagv31020667m,maize1
gene7541,Sobic.004G033300,Zm00001d015196,Pavagv31020669m,maize1
gene7542,Sobic.004G033400,Zm00001d015196,Pavagv31020669m,maize1
gene7543,Sobic.004G033800,Zm00001d015197,Pavagv31020675m,maize1
gene7544,Sobic.004G034000,Zm00001d015200,Pavagv31020677m,maize1
gene7545,Sobic.004G034100,Zm00001d015201,Pavagv31020693m,maize1
gene7546,Sobic.004G034200,Zm00001d015202,Pavagv31020695m,maize1
gene7547,Sobic.004G034300,Zm00001d015203,Pavagv31020697m,maize1
gene7548,Sobic.004G034500,Zm00001d015204,Pavagv31020699m,maize1
gene7549,Sobic.004G034700,Zm00001d015208,Pavagv31020701m,maize1
gene7550,Sobic.004G034900,Zm00001d015209,Pavagv31020707m,maize1
gene7551,Sobic.004G035000,Zm00001d015210,Pavagv31020708m,maize1
gene7552,Sobic.004G035200,Zm00001d015211,Pavagv31020710m,maize1
gene7553,Sobic.004G035300,Zm00001d015212,Pavagv31020711m,maize1
gene7554,Sobic.004G035800,Zm00001d015213,Pavagv31020713m,maize1
gene7555,Sobic.004G035900,Zm00001d015215,Pavagv31020714m,maize1
gene7556,Sobic.004G036400,Zm00001d015225,Pavagv31020717m,maize1
gene7557,Sobic.004G036500,Zm00001d015226,Pavagv31020719m,maize1
gene7558,Sobic.004G036600,Zm00001d015227,Pavagv31020723m,maize1
gene7559,Sobic.004G036700,Zm00001d015229,Pavagv31020724m,maize1
gene7560,Sobic.004G036800,Zm00001d015231,Pavagv31020725m,maize1
gene7561,Sobic.004G036900,Zm00001d015233,Pavagv31020726m,maize1
gene7562,Sobic.004G037100,Zm00001d015234,Pavagv31020728m,maize1
